epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,90.6414,1.24432,1.63154,1.38055,0.6179,0.6988,0.64951,0.38013,1.43079,1.82075,1.2033,0.00995708,0.00331903,0.00995708,0.00331903,0.00995708,0.00331903,0.00995708,0.00331903
2,177.387,1.33817,1.35157,1.39701,0.64126,0.59438,0.51714,0.26793,1.8021,2.03081,1.45452,0.0198912,0.00663041,0.0198912,0.00663041,0.0198912,0.00663041,0.0198912,0.00663041
3,262.09,1.49228,1.42028,1.49566,0.34158,0.46586,0.30663,0.14029,1.99719,3.98768,1.94443,0.0297594,0.00991979,0.0297594,0.00991979,0.0297594,0.00991979,0.0297594,0.00991979
4,345.999,1.48734,1.41699,1.52829,0.67842,0.66265,0.60886,0.34983,1.62314,1.58772,1.38203,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,430.003,1.37514,1.31231,1.44892,0.66631,0.64257,0.58554,0.35083,1.53152,1.54593,1.28503,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,513.922,1.26016,1.18748,1.39041,0.75667,0.68688,0.67813,0.42552,1.477,1.34659,1.20743,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,598.165,1.227,1.13458,1.35364,0.77235,0.65863,0.70903,0.43854,1.49381,1.3829,1.23611,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,682.07,1.15229,1.0716,1.314,0.81018,0.71888,0.7385,0.46624,1.42168,1.24035,1.18503,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,766.015,1.11509,1.03385,1.28549,0.82475,0.68675,0.74517,0.51046,1.34186,1.14865,1.14045,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,849.967,1.06914,0.99121,1.27994,0.81575,0.69345,0.72922,0.47564,1.37915,1.23939,1.11346,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
