epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,318.994,0.51906,1.96864,0.51691,0.87689,0.71511,0.7805,0.61435,0.29956,0.53924,0.23371,0.00997849,0.00332616,0.00997849,0.00332616,0.00997849,0.00332616,0.00997849,0.00332616
2,560.435,0.34498,0.52967,0.28173,0.84833,0.76707,0.80799,0.62472,0.30932,0.49284,0.21534,0.0199126,0.00663752,0.0199126,0.00663752,0.0199126,0.00663752,0.0199126,0.00663752
3,778.089,0.42661,0.53392,0.31105,0.79648,0.67585,0.73381,0.43885,0.49207,0.58669,0.30361,0.0297806,0.00992688,0.0297806,0.00992688,0.0297806,0.00992688,0.0297806,0.00992688
4,988.914,0.52174,0.55041,0.361,0.85734,0.73494,0.77399,0.51936,0.43201,0.52455,0.2813,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,1198.46,0.52306,0.52923,0.35319,0.77715,0.61622,0.67504,0.33365,0.66993,0.52821,0.38149,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,1413.44,0.49769,0.54334,0.33372,0.78046,0.65462,0.65534,0.35737,0.62129,0.51661,0.34974,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,1623.08,0.50316,0.53685,0.33152,0.77402,0.6878,0.71512,0.35221,0.65665,0.53972,0.33773,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,1830.83,0.52245,0.53432,0.33654,0.79495,0.70065,0.74329,0.41691,0.57222,0.51592,0.32125,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,2039.97,0.53189,0.51928,0.33957,0.84484,0.78313,0.78938,0.55417,0.38444,0.54573,0.26885,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,2247.61,0.51339,0.51133,0.33925,0.86886,0.76707,0.79279,0.58506,0.34451,0.52277,0.25088,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,2457.22,0.48567,0.51106,0.31928,0.84201,0.74915,0.79844,0.53177,0.43765,0.51032,0.27959,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,2662.91,0.49411,0.50521,0.31237,0.81929,0.78715,0.79445,0.56293,0.39049,0.49076,0.27235,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,2872.45,0.52038,0.48966,0.33291,0.8269,0.71084,0.74483,0.39664,0.60024,0.4961,0.32498,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,3082.85,0.50823,0.49673,0.31334,0.83107,0.76707,0.79695,0.55292,0.3812,0.50932,0.26559,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
