epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,20.9618,1.48889,2.81493,1.57135,0.54987,0.58381,0.5307,0.24852,1.60723,2.61102,1.4058,0.00995708,0.00331903,0.00995708,0.00331903,0.00995708,0.00331903,0.00995708,0.00331903
2,37.7419,1.48426,2.10562,1.55233,0.48811,0.54217,0.44754,0.2022,1.77004,2.20435,1.50129,0.0198912,0.00663041,0.0198912,0.00663041,0.0198912,0.00663041,0.0198912,0.00663041
3,54.0627,1.59499,1.85449,1.64661,0.53908,0.51406,0.48031,0.23103,1.8582,1.99812,1.72349,0.0297594,0.00991979,0.0297594,0.00991979,0.0297594,0.00991979,0.0297594,0.00991979
4,69.5687,1.61035,1.75298,1.69869,0.60996,0.56627,0.54818,0.25094,1.86802,1.9142,1.71575,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,85.0427,1.55084,1.61422,1.64182,0.66842,0.60719,0.61608,0.29762,1.76636,1.69801,1.57294,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,100.495,1.46158,1.53004,1.58013,0.68931,0.63454,0.61059,0.32485,1.64627,1.69721,1.43734,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,116.939,1.42192,1.46995,1.54156,0.70259,0.66265,0.62118,0.31641,1.78273,1.60018,1.55147,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,134.23,1.3561,1.42335,1.49808,0.77118,0.69478,0.66525,0.35654,1.62058,1.50714,1.44445,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,151.163,1.32541,1.37939,1.47166,0.6734,0.71486,0.66159,0.37087,1.57299,1.48176,1.39692,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,167.689,1.29506,1.35955,1.46521,0.71951,0.66963,0.68106,0.38727,1.56585,1.46022,1.3553,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,184.277,1.26978,1.31546,1.44145,0.7123,0.66667,0.67423,0.38345,1.52724,1.45162,1.3397,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,201.198,1.25098,1.31882,1.43272,0.77148,0.69149,0.69607,0.40179,1.52592,1.42139,1.36004,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,218.149,1.22193,1.23633,1.40374,0.75337,0.6988,0.69649,0.40285,1.54473,1.43848,1.35103,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
